ranking;slowo;ilosc wystapien
1;the;194
2;of;105
3;and;102
4;to;97
5;a;90
6;web;68
7;in;56
8;that;49
9;for;39
10;data;39
11;scraping;38
12;from;36
13;on;36
14;is;34
15;or;33
16;be;30
17;can;25
18;retrieved;24
19;are;21
20;as;21
21;this;19
22;pages;19
23;by;19
24;it;17
25;court;17
26;site;17
27;information;14
28;with;14
29;an;13
30;used;13
31;v;13
32;which;13
33;access;13
34;computer;12
35;use;12
36;not;12
37;using;12
38;terms;12
39;original;12
40;such;12
41;may;12
42;page;11
43;pdf;11
44;content;11
45;websites;11
46;website;11
47;case;11
48;law;11
49;software;11
50;archived;11
51;was;11
52;also;10
53;district;9
54;united;9
55;have;9
56;some;9
57;qvc;9
58;human;8
59;into;8
60;farechase;8
61;states;8
62;inc;8
63;ruled;7
64;sites;7
65;these;7
66;common;7
67;bots;7
68;available;7
69;trespass;7
70;copyright;7
71;user;7
72;specific;6
73;being;6
74;no;6
75;claims;6
76;february;6
77;their;6
78;however;6
79;sometimes;6
80;semantic;6
81;act;6
82;api;6
83;search;6
84;mining;5
85;example;5
86;scrapers;5
87;database;5
88;its;5
89;without;5
90;cases;5
91;all;5
92;courts;5
93;will;5
94;airlines;5
95;based;5
96;vision;5
97;first;5
98;engine;5
99;qvcs;5
100;many;5
