n;url
1;https://www.onet.pl/styl-zycia/whitemad/rozbudowa-starego-domu-w-opolu-popatrzcie-na-wnetrza/f7ndffh,30bc1058
2;https://wiadomosci.onet.pl/bialystok
3;https://premium.onet.pl/?src=topBar
4;https://premium.onet.pl/regulamin
5;http://www.onet.pl/premium
6;https://wiadomosci.onet.pl/nauka/trzy-proste-metody-jak-zerwac-z-zajadaniem-stresu-lekarze-radza/90ytk41
7;https://wiadomosci.onet.pl/nauka/radykalny-sposob-na-cukrzyce-typu-2-nie-jest-latwy-ale-niektorym-pomaga/f87vhh0
8;https://pogoda.onet.pl/prognoza-pogody/rzeszow-342624
9;https://pogoda.onet.pl/artykuly/beda-nastepne-alerty-imgw-niebezpieczna-pogoda-znow-da-nam-sie-we-znaki/8x0h5mr
10;https://polityka-prywatnosci.onet.pl/regulamin.html
11;https://www.dreamlab.pl
12;https://www.ringieraxelspringer.pl
13;https://www.ringieraxelspringer.pl/inicjatywy.html
14;https://www.ringieraxelspringer.pl/pl/
15;https://swps.pl/oferta/online/podyplomowe/informatyka-nowe-technologie/digital-media
16;https://swps.pl/kontakt/wspolpraca-i-uslugi/swps-innowacje
17;https://swps.pl/studia-i-szkolenia/zdobadz-wsparcie-finansowe/programy-dla-kandydatow
18;https://swps.pl/my-uniwersytet/aktualnosci/wyklady-i-spotkania/34945-warsztaty-dziennikarskie-walka-z-dezinformacja-technologie-narzedzia-kompetencje
19;https://swps.pl/nauka-i-badania/nasze-dzialania/publikacje-wysoko-punktowane/33749-jak-ciaza-wplywa-na-funkcje-poznawcze-kobiet
20;https://swps.pl/nauka-i-badania/nasze-dzialania/publikacje-wysoko-punktowane/33749-jak-ciaza-wplywa-na-funkcje-poznawcze-kobiet#content
21;https://swps.pl/studia-i-szkolenia/studiuj-komfortowo/zakwaterowanie-na-czas-studiow
22;https://web.swps.pl/strefa-designu/
23;https://web.swps.pl/strefa-designu/blog/25511-od-koncepcji-do-okladki-tajniki-projektowania-ksiazek-podcast
24;https://www.empik.com/szukaj/produkt?seriesFacet=strefa+designu+uniwersytetu+swps
25;https://www.empik.com/elektronika/telefony-i-smartwatche,3623,s
26;https://www.empik.com/zdrowie-i-uroda/pielegnacja-twarzy
27;https://www.empik.com/gry-i-programy/playstation-5/konsole,342803,s
28;https://www.empik.com/moda/akcesoria/paski-i-szelki,43060305,s
29;https://www.empik.com/dom-i-ogrod/lazienka
30;https://www.empik.com/sport/rowery-i-akcesoria/odziez-i-obuwie-rowerowe,411404,s
31;https://www.empikfoto.pl/fotokalendarze/tematy/nowoczesne?utm_source=empik.com&utm_medium=menu&utm_campaign=kalendarze
32;https://www.empikfoto.pl/kalendarz,ten-rok
33;https://www.empikfoto.pl/opakowania,swiateczna-pierniki?material-wykonania=papier&kolor=wielokolorowa
34;https://www.empikfoto.pl/prezenty-na-dzien-ojca
35;https://www.empikfoto.pl/prezenty-dla-taty
36;https://www.empikfoto.pl/prezenty-na-dzien-ojca
37;https://www.empikfoto.pl/fotokalendarze
38;https://www.empikfoto.pl/fotoksiazki/tematy/slub?format=20x20&sort=default_desc
39;https://www.empikfoto.pl/pudelka-na-fotoksiazki
40;https://www.empikfoto.pl/wystroj-wnetrz/fotoplakaty/18-urodziny
41;https://www.empikfoto.pl/fotokalendarze/tematy?format=30x20%20A4
42;https://www.empikfoto.pl/prezenty-dla-gosci/miody
43;https://www.empikfoto.pl/kontakt
44;https://www.empikfoto.pl/prezenty-dla-kobiety
45;https://www.empikfoto.pl/promocje
46;https://www.empikfoto.pl/moje-konto/zamowienia
47;https://www.empikfoto.pl/wyszukiwarka?q=skarpetki
48;https://www.empikfoto.pl/kubki-z-lyzeczka
49;https://www.empikfoto.pl/kubek,kochanemu-dziadkowi?kolor-produktu=czarny&pojemnosc=330
50;https://www.empikfoto.pl/albumy-do-scrapbookingu
51;https://www.empikfoto.pl/album-drewniany,pinky-promise
52;https://www.empikfoto.pl/wystroj-wnetrz/nowoczesne-plakaty
