Ranking,Title,Rating
1,The Shawshank Redemption,89
2,The Godfather,97
3,The Dark Knight,94
4,12 Angry Men,93
5,Schindler's List,98
6,The Lord of the Rings: The Return of the King,94
7,Pulp Fiction,92
8,The Lord of the Rings: The Fellowship of the Ring,91
9,"The Good, the Bad and the Ugly",97
10,Forrest Gump,76
11,The Lord of the Rings: The Two Towers,95
12,Fight Club,
13,Dune: Part Two,93
14,Inception,87
15,Star Wars: Episode V - The Empire Strikes Back,95
16,The Matrix,83
17,Goodfellas,95
18,One Flew Over the Cuckoo's Nest,93
19,Interstellar,73
20,It's a Wonderful Life,
21,Seven Samurai,100
22,The Silence of the Lambs,95
23,Saving Private Ryan,94
24,City of God,91
25,Life Is Beautiful,
26,The Green Mile,79
27,Terminator 2: Judgment Day,91
28,Star Wars: Episode IV - A New Hope,93
29,Back to the Future,93
30,Spirited Away,96
31,The Pianist,95
32,Parasite,99
33,Spider-Man: Across the Spider-Verse,95
34,Psycho,
35,Gladiator,79
36,The Lion King,52
37,The Departed,91
38,American History X,84
39,Whiplash,94
40,The Prestige,77
41,Grave of the Fireflies,100
42,The Usual Suspects,88
43,Casablanca,
44,The Intouchables,76
45,Cinema Paradiso,90
46,Modern Times,98
47,Rear Window,46
48,Once Upon a Time in the West,96
49,Alien,93
50,City Lights,
51,12th Fail,91
52,Apocalypse Now,97
53,Django Unchained,87
54,Memento,94
55,Raiders of the Lost Ark,93
56,The Lives of Others,92
57,Paths of Glory,96
58,Avengers: Infinity War,85
59,Spider-Man: Into the Spider-Verse,97
60,The Shining,83
61,Witness for the Prosecution,
62,The Great Dictator,92
63,Aliens,98
64,Inglourious Basterds,89
65,The Dark Knight Rises,87
66,American Beauty,87
67,Oldboy,39
68,Coco,
69,Amadeus,89
70,Toy Story,100
71,The Boat,
72,Braveheart,76
73,Avengers: Endgame,94
74,Joker,69
75,Princess Mononoke,93
76,Good Will Hunting,97
77,Once Upon a Time in America,87
78,High and Low,96
79,3 Idiots,
80,Oppenheimer,93
81,Singin' in the Rain,100
82,Capernaum,90
83,Requiem for a Dream,78
84,Come and See,90
85,Toy Story 3,98
86,Star Wars: Episode VI - Return of the Jedi,83
87,Eternal Sunshine of the Spotless Mind,92
88,The Hunt,
89,2001: A Space Odyssey,92
90,Reservoir Dogs,90
91,Ikiru,98
92,Lawrence of Arabia,94
