id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2024-04-16,16,9.2,2,220,52.6,0.3,999.5
12600,Bielsko Biała,2024-04-16,16,8.1,6,230,47.5,7.7,1004.5
12235,Chojnice,2024-04-16,16,5.4,7,260,88.1,5.3,997.3
12550,Częstochowa,2024-04-16,16,4.9,3,190,83.1,1.6,1004.0
12160,Elbląg,2024-04-16,16,5.4,4,240,90.0,5.0,997.2
12155,Gdańsk,2024-04-16,16,5.6,2,350,90.6,4.4,997.2
12300,Gorzów,2024-04-16,16,6.9,6,290,76.5,2.8,999.9
12135,Hel,2024-04-16,16,6.0,2,360,93.9,2.5,997.5
12500,Jelenia Góra,2024-04-16,16,9.6,4,270,44.5,0.0,1001.3
12435,Kalisz,2024-04-16,16,11.6,6,220,42.5,3.9,1000.3
12650,Kasprowy Wierch,2024-04-16,16,-5.9,5,300,83.0,6.3,
12560,Katowice,2024-04-16,16,5.2,4,270,82.6,2.0,1005.1
12185,Kętrzyn,2024-04-16,16,7.1,4,250,72.8,1.0,997.5
12570,Kielce,2024-04-16,16,9.0,5,230,52.6,1.5,1003.2
12520,Kłodzko,2024-04-16,16,9.3,4,210,44.8,0.01,1002.4
12345,Koło,2024-04-16,16,9.7,5,240,56.7,8.5,999.9
12100,Kołobrzeg,2024-04-16,16,6.1,10,350,95.2,19.0,997.7
12105,Koszalin,2024-04-16,16,6.4,3,310,93.9,6.6,996.5
12488,Kozienice,2024-04-16,16,10.1,4,230,47.7,0.8,1002.1
12566,Kraków,2024-04-16,16,9.2,8,240,57.8,5.1,1004.3
12670,Krosno,2024-04-16,16,7.5,1,320,65.9,8.2,1004.4
12415,Legnica,2024-04-16,16,11.9,5,270,39.6,2.1,1001.0
12690,Lesko,2024-04-16,16,6.9,2,290,90.1,7.0,1004.7
12418,Leszno,2024-04-16,16,11.6,5,250,43.4,6.2,1000.1
12125,Lębork,2024-04-16,16,6.4,0,0,93.9,0.2,997.0
12495,Lublin,2024-04-16,16,8.5,4,260,54.8,0.3,1003.2
12120,Łeba,2024-04-16,16,6.1,5,50,91.9,0.01,997.2
12465,Łódź,2024-04-16,16,8.4,4,210,62.9,1.4,1001.4
12280,Mikołajki,2024-04-16,16,5.7,5,220,85.6,0.8,998.3
12270,Mława,2024-04-16,16,7.8,4,220,80.6,2.6,999.0
12660,Nowy Sącz,2024-04-16,16,9.1,3,220,53.7,8.6,1004.1
12272,Olsztyn,2024-04-16,16,5.9,4,250,85.0,4.7,998.2
12530,Opole,2024-04-16,16,9.1,3,190,61.7,3.3,1003.1
12285,Ostrołęka,2024-04-16,16,6.4,2,99,78.7,1.2,999.9
12230,Piła,2024-04-16,16,6.2,4,240,86.9,8.2,998.6
12001,Platforma,2024-04-16,16,4.2,8,40,81.8,0.0,998.1
12360,Płock,2024-04-16,16,9.1,8,250,62.6,7.5,999.7
12330,Poznań,2024-04-16,16,8.1,7,320,73.5,12.1,999.9
12695,Przemyśl,2024-04-16,16,8.6,2,99,70.0,11.2,1004.0
12540,Racibórz,2024-04-16,16,9.1,5,220,65.8,2.4,1004.0
12210,Resko,2024-04-16,16,4.7,6,280,91.9,23.3,998.6
12580,Rzeszów,2024-04-16,16,8.8,5,250,55.7,8.5,1004.3
12585,Sandomierz,2024-04-16,16,9.1,3,240,49.6,1.0,1003.3
12385,Siedlce,2024-04-16,16,9.4,4,240,54.6,2.3,1001.4
12310,Słubice,2024-04-16,16,10.2,4,270,52.5,2.5,1000.3
12469,Sulejów,2024-04-16,16,8.0,6,210,60.5,2.0,1002.4
12195,Suwałki,2024-04-16,16,5.3,5,240,85.6,0.2,997.7
12205,Szczecin,2024-04-16,16,5.4,5,310,90.0,14.2,1000.3
12215,Szczecinek,2024-04-16,16,5.3,3,99,88.7,7.8,997.4
12510,Śnieżka,2024-04-16,16,-3.4,7,230,97.8,1.2,
12200,Świnoujście,2024-04-16,16,5.2,11,350,86.8,18.5,1000.6
12575,Tarnów,2024-04-16,16,9.2,3,270,57.8,7.6,1003.6
12399,Terespol,2024-04-16,16,9.1,4,230,50.7,1.3,1002.0
12250,Toruń,2024-04-16,16,5.7,1,240,86.8,5.8,998.9
12115,Ustka,2024-04-16,16,6.9,12,50,93.9,7.2,996.6
12375,Warszawa,2024-04-16,16,10.1,3,230,49.5,4.9,1000.9
12455,Wieluń,2024-04-16,16,7.7,2,190,74.5,0.9,1002.6
12497,Włodawa,2024-04-16,16,8.8,4,250,54.5,1.3,1002.6
12424,Wrocław,2024-04-16,16,11.6,5,260,41.6,0.1,1001.3
12625,Zakopane,2024-04-16,16,4.5,3,280,53.8,10.7,
12595,Zamość,2024-04-16,16,8.8,4,240,59.9,1.0,1003.5
12400,Zielona Góra,2024-04-16,16,10.3,3,260,48.5,1.3,1000.0
