n;key;value
1;https://onet.pl;2
2;https://www.onet.pl/informacje/ifrancja/francja-w-wieku-102-lat-zmarl-we-francji-admiral-philippe-de-gaulle-syn-charlesa-de/lm86vtm,30bc1058;1
3;https://wiadomosci.onet.pl/lublin;1
4;https://wiadomosci.onet.pl/lublin/tragiczny-wypadek-podczas-ciecia-drewna-nie-zyje-56-latka/d9bdhy3;1
5;https://pogoda.onet.pl/prognoza-pogody/bialystok-270085;2
6;https://pogoda.onet.pl/artykuly/beda-nastepne-alerty-imgw-niebezpieczna-pogoda-znow-da-nam-sie-we-znaki/8x0h5mr;2
7;https://grupa-onet.embed.videos.ringpublishing.com/2322274.638456530;1
8;https://polityka-prywatnosci.onet.pl/;2
9;https://www.dreamlab.pl;2
10;https://www.dreamlab.pl/what-we-do;1
11;https://www.forbes.pl/;1
12;https://www.forbes.pl/biznes/media-spolecznosciowe-przerobki-naszych-zdjec-za-darmo-karmia-danymi-algorytmy/4y2dmjx;3
13;https://www.forbes.pl/rss.xml;1
14;https://www.forbes.pl/opinie/konfiskata-auta-za-jazde-po-pijaku-im-drozszy-samochod-tym-wyzsza-kara-za-jazde-pod/1vjm3x6;1
15;https://www.forbes.pl/zeroemisyjni;1
16;https://www.forbes.pl/mapa-archiwum;1
17;https://www.forbes.pl/archiwum/2019-11-4;1
18;https://www.forbes.pl/kariera/tedxwarsawwomen-sprzedaz-biletow-od-5-listopada/7lm0ewt;2
19;https://www.newsweek.pl/kupony-rabatowe/promocje/subskrypcja-forbes?utm_source=forbes&utm_medium=navi&utm_campaign=subskrypcja_kupony;1
20;https://www.newsweek.pl/kupony-rabatowe/dyson-kod-rabatowy;1
21;https://www.newsweek.pl/kupony-rabatowe/kod-rabatowy-top-secret;1
22;https://www.newsweek.pl/kupony-rabatowe/hebe-promocje;1
23;https://www.newsweek.pl/kupony-rabatowe/kod-rabatowy-vobis;1
24;https://www.newsweek.pl/rak;1
25;https://www.newsweek.pl/subskrypcja;1
26;https://www.newsweek.pl/subskrypcja#mobiltekOffer;2
27;mailto:pomoc@onet.pl;2
28;https://premium.onet.pl/regulamin;2
29;https://konto.onet.pl/regulamin;3
30;https://konto.onet.pl/Regulamin_OKonto.pdf;2
31;https://polityka-prywatnosci.onet.pl/index.html;2
32;https://polityka-prywatnosci.onet.pl/kontakt.html;3
33;https://polityka-prywatnosci.onet.pl/grupa-rasp.html;3
34;https://noizz.pl;2
35;https://www.facebook.com/NOIZZPolska;1
36;https://noizz.pl/kultura/griselda-blanco-piec-rzeczy-ktorych-nie-wiedzieliscie-o-bohaterce-serialu-netflixa/3zb3g6q;1
37;https://polityka-prywatnosci.onet.pl/regulamin.html;4
38;mailto:bok@grupaonet.pl;1
39;http://polityka-prywatnosci.onet.pl/kontakt.html#formularz;1
40;http://polityka-prywatnosci.onet.pl/regulamin.html;1
41;https://poczta.onet.pl/pomoc/7/kontakt-z-bok.html;1
42;https://pomoc.poczta.onet.pl/kategoria/spf-dkim-dmarc-oraz-bimi/;1
43;https://pomoc.poczta.onet.pl/kategoria/informacje-o-logowaniu/;1
44;https://pomoc.poczta.onet.pl/kategoria/bezpieczenstwo/;1
45;https://pomoc.poczta.onet.pl/baza-wiedzy/wybor-bezpiecznego-hasla/;1
46;https://pomoc.poczta.onet.pl/baza-wiedzy/nie-pamietam-hasla-jak-odzyskac-dostep-do-konta/;1
47;https://polityka-prywatnosci.onet.pl/user-id.html;1
48;http://ofirmie.onet.pl/aktualne-oferty-pracy;1
49;http://ofirmie.onet.pl/kontakt.html;1
50;http://ofirmie.onet.pl/praca/oferty-pracy.html;1
51;http://ofirmie.onet.pl/tech.html;1
52;http://ofirmie.onet.pl/materialy.html;1
53;https://narodowytestekologiczny.onet.pl/;1
54;https://niechzyjeplaneta.onet.pl;1
55;https://tech.ringieraxelspringer.com/;1
56;https://podroze.onet.pl/aktualnosci/tragedia-na-nartach-na-slowacji-zginal-10-letni-chlopiec-z-polski/gx7b8kd;1
57;http://hzs.sk/;1
58;https://hzs.sk/pohorie/mala-fatra/;1
59;https://hzs.sk/category/zachranne-akcie/;1
60;https://hzs.sk/zapadne-tatry/;1
61;https://hzs.sk/category/podmienky-a-vystrahy/;3
62;https://hzs.sk/slovensky-raj/;1
63;https://hzs.sk/nizke-tatry/;1
64;https://hzs.sk/uzavera-roklin-v-slovenskom-raji/;1
65;https://hzs.sk/mala-fatra;1
66;https://app.hzs.sk;1
67;https://www.generali.sk/;2
68;https://www.generali.sk/kontakt/;1
69;https://www.generali.sk/pre-podnikatelov/vozidla/;1
70;https://www.generali.sk/online-sluzby/online-poistenie/;1
71;https://www.generali.sk/pre-podnikatelov/verejny-prislub/;2
72;https://www.generali.sk/online-sluzby/elektronicka-korespondencia/;2
73;https://www.generali.sk/kontakt/pobocky/;1
74;https://www.generali.sk/o-nas/;1
75;https://www.generali.sk/pre-obcanov/zivotne-poistenie/pre-vybrane-povolania/;1
76;https://generalibalans.sk/;1
77;https://generalibalans.sk/onkolog-michal-chovanec-kazda-osma-zena-dostane-v-zivote-rakovinu-prsnika/;1
78;https://generalibalans.sk/category/zdravy-tanier/;1
79;https://www.generali.sk/pre-obcanov/zivotne-poistenie/asistencie-pre-vas/;4
80;https://www.linkedin.com/company/generali-slovensko/;1
81;https://www.generali.sk/online-sluzby/;1
82;https://www.generali.sk/pre-obcanov/poistenie-auta/;1
83;https://ucenieprezivot.sk/;1
84;https://ucenieprezivot.sk/#o-programe;3
85;https://www.facebook.com/materskecentrum.nezabudka;1
86;https://www.facebook.com/people/Matersk%C3%A9-centrum-Sovi%C4%8Dka/100072032646410/;1
87;https://www.youtube.com/watch?v=IoT-GM7lOwI;1
88;https://www.youtube.com/ads/;1
89;https://support.google.com/youtube/#topic=9257498;1
90;https://support.google.com/youtube/announcements/11909013;1
91;https://support.google.com/youtube/answer/12931897;1
92;https://support.google.com/youtube/answer/13383309?co=YOUTUBE._YTVideoType%3Dvideo;1
93;https://support.google.com/youtube/topic/2803176?hl=en&ref_topic=6151248,3230811,3256124,;2
94;https://support.google.com/youtube/topic/9995067?hl=en&ref_topic=9257430,3230811,3256124,;1
95;https://support.google.com/youtube/topic/13400958?hl=en&ref_topic=9257430,3230811,3256124,;1
96;https://support.google.com/youtube/topic/12013284?hl=en&ref_topic=9257430,3230811,3256124,;1
97;https://support.google.com/youtube/topic/13343244?hl=en&ref_topic=9257498,3230811,3256124,;1
