n;url
1;https://www.onet.pl/informacje/ifrancja/francja-w-wieku-102-lat-zmarl-we-francji-admiral-philippe-de-gaulle-syn-charlesa-de/lm86vtm,30bc1058
2;https://wiadomosci.onet.pl/lublin
3;https://wiadomosci.onet.pl/lublin/tragiczny-wypadek-podczas-ciecia-drewna-nie-zyje-56-latka/d9bdhy3
4;https://pogoda.onet.pl/prognoza-pogody/bialystok-270085
5;https://pogoda.onet.pl/artykuly/beda-nastepne-alerty-imgw-niebezpieczna-pogoda-znow-da-nam-sie-we-znaki/8x0h5mr
6;https://polityka-prywatnosci.onet.pl/
7;https://www.dreamlab.pl
8;https://www.dreamlab.pl/what-we-do
9;https://www.forbes.pl/
10;https://www.forbes.pl/biznes/media-spolecznosciowe-przerobki-naszych-zdjec-za-darmo-karmia-danymi-algorytmy/4y2dmjx
11;https://www.forbes.pl/opinie/konfiskata-auta-za-jazde-po-pijaku-im-drozszy-samochod-tym-wyzsza-kara-za-jazde-pod/1vjm3x6
12;https://www.forbes.pl/zeroemisyjni
13;https://www.forbes.pl/mapa-archiwum
14;https://www.forbes.pl/archiwum/2019-11-4
15;https://www.forbes.pl/kariera/tedxwarsawwomen-sprzedaz-biletow-od-5-listopada/7lm0ewt
16;https://www.newsweek.pl/kupony-rabatowe/promocje/subskrypcja-forbes?utm_source=forbes&utm_medium=navi&utm_campaign=subskrypcja_kupony
17;https://www.newsweek.pl/kupony-rabatowe/dyson-kod-rabatowy
18;https://www.newsweek.pl/kupony-rabatowe/kod-rabatowy-top-secret
19;https://www.newsweek.pl/kupony-rabatowe/hebe-promocje
20;https://www.newsweek.pl/kupony-rabatowe/kod-rabatowy-vobis
21;https://www.newsweek.pl/rak
22;https://www.newsweek.pl/subskrypcja
23;https://www.newsweek.pl/subskrypcja#mobiltekOffer
24;https://premium.onet.pl/regulamin
25;https://konto.onet.pl/regulamin
26;https://polityka-prywatnosci.onet.pl/index.html
27;https://polityka-prywatnosci.onet.pl/kontakt.html
28;https://polityka-prywatnosci.onet.pl/grupa-rasp.html
29;https://www.dreamlab.pl
30;https://noizz.pl
31;https://noizz.pl/kultura/griselda-blanco-piec-rzeczy-ktorych-nie-wiedzieliscie-o-bohaterce-serialu-netflixa/3zb3g6q
32;https://polityka-prywatnosci.onet.pl/regulamin.html
33;https://polityka-prywatnosci.onet.pl/grupa-rasp.html
34;https://polityka-prywatnosci.onet.pl/index.html
35;http://polityka-prywatnosci.onet.pl/kontakt.html#formularz
36;http://polityka-prywatnosci.onet.pl/regulamin.html
37;https://polityka-prywatnosci.onet.pl/
38;https://poczta.onet.pl/pomoc/7/kontakt-z-bok.html
39;https://pomoc.poczta.onet.pl/kategoria/spf-dkim-dmarc-oraz-bimi/
40;https://pomoc.poczta.onet.pl/kategoria/informacje-o-logowaniu/
41;https://pomoc.poczta.onet.pl/kategoria/bezpieczenstwo/
42;https://pomoc.poczta.onet.pl/baza-wiedzy/wybor-bezpiecznego-hasla/
43;https://pomoc.poczta.onet.pl/baza-wiedzy/nie-pamietam-hasla-jak-odzyskac-dostep-do-konta/
44;https://polityka-prywatnosci.onet.pl/regulamin.html
45;https://polityka-prywatnosci.onet.pl/grupa-rasp.html
46;https://polityka-prywatnosci.onet.pl/kontakt.html
47;https://polityka-prywatnosci.onet.pl/user-id.html
48;http://ofirmie.onet.pl/aktualne-oferty-pracy
49;http://ofirmie.onet.pl/kontakt.html
50;http://ofirmie.onet.pl/praca/oferty-pracy.html
51;http://ofirmie.onet.pl/tech.html
52;http://ofirmie.onet.pl/materialy.html
53;https://narodowytestekologiczny.onet.pl/
54;https://niechzyjeplaneta.onet.pl
55;https://tech.ringieraxelspringer.com/
56;https://onet.pl
57;https://podroze.onet.pl/aktualnosci/tragedia-na-nartach-na-slowacji-zginal-10-letni-chlopiec-z-polski/gx7b8kd
58;http://hzs.sk/
59;https://hzs.sk/pohorie/mala-fatra/
60;https://hzs.sk/category/zachranne-akcie/
61;https://hzs.sk/zapadne-tatry/
62;https://hzs.sk/category/podmienky-a-vystrahy/
63;https://hzs.sk/slovensky-raj/
64;https://hzs.sk/nizke-tatry/
65;https://hzs.sk/category/podmienky-a-vystrahy/
66;https://hzs.sk/uzavera-roklin-v-slovenskom-raji/
67;https://hzs.sk/mala-fatra
68;https://app.hzs.sk
69;https://www.generali.sk/
70;https://www.generali.sk/kontakt/
71;https://www.generali.sk/pre-podnikatelov/vozidla/
72;https://www.generali.sk/online-sluzby/online-poistenie/
73;https://www.generali.sk/pre-podnikatelov/verejny-prislub/
74;https://www.generali.sk/online-sluzby/elektronicka-korespondencia/
75;https://www.generali.sk/kontakt/pobocky/
76;https://www.generali.sk/o-nas/
77;https://www.generali.sk/online-sluzby/elektronicka-korespondencia/
78;https://www.generali.sk/pre-obcanov/zivotne-poistenie/pre-vybrane-povolania/
79;https://generalibalans.sk/
80;https://generalibalans.sk/onkolog-michal-chovanec-kazda-osma-zena-dostane-v-zivote-rakovinu-prsnika/
81;https://generalibalans.sk/category/zdravy-tanier/
82;https://www.generali.sk/
83;https://www.generali.sk/pre-obcanov/zivotne-poistenie/asistencie-pre-vas/
84;https://www.generali.sk/online-sluzby/
85;https://www.generali.sk/pre-obcanov/poistenie-auta/
86;https://ucenieprezivot.sk/
87;https://ucenieprezivot.sk/#o-programe
88;https://www.youtube.com/watch?v=IoT-GM7lOwI
89;https://www.youtube.com/ads/
90;https://support.google.com/youtube/#topic=9257498
91;https://support.google.com/youtube/announcements/11909013
92;https://support.google.com/youtube/answer/12931897
93;https://support.google.com/youtube/answer/13383309?co=YOUTUBE._YTVideoType%3Dvideo
94;https://support.google.com/youtube/topic/2803176?hl=en&ref_topic=6151248,3230811,3256124,
95;https://support.google.com/youtube/topic/9995067?hl=en&ref_topic=9257430,3230811,3256124,
96;https://support.google.com/youtube/topic/2803176?hl=en&ref_topic=6151248,3230811,3256124,
97;https://support.google.com/youtube/topic/13400958?hl=en&ref_topic=9257430,3230811,3256124,
98;https://support.google.com/youtube/topic/12013284?hl=en&ref_topic=9257430,3230811,3256124,
99;https://support.google.com/youtube/topic/13343244?hl=en&ref_topic=9257498,3230811,3256124,
100;https://support.google.com/youtube/topic/9257891?hl=en&ref_topic=9257610,3230811,3256124,
